,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
86,Bercy,48.8352090499,2.38621008421,4b49ecd3f964a520177626e3,Nature et Découvertes,48.83248587105888,2.3858436563003598,Miscellaneous Shop
87,Bercy,48.8352090499,2.38621008421,4eeb2318a69dd7c5b484d061,Dammann Frères,48.833391053261074,2.386683225631714,Tea Room
88,Bercy,48.8352090499,2.38621008421,4bc20837920eb713777e1b2c,La Cure Gourmande,48.833185,2.386901,Candy Store
89,Bercy,48.8352090499,2.38621008421,4d9dbf0ea1ec8cfaaf910a4a,Jardin Yitzhak Rabin,48.83568670904808,2.382132777227076,Garden
90,Bercy,48.8352090499,2.38621008421,564269aa498e9bfd23114837,Bar & Beer,48.83702176743156,2.3915387778536985,Beer Bar
91,Bercy,48.8352090499,2.38621008421,4b8a107df964a520465e32e3,Hôtel Pullman Paris Centre - Bercy,48.83140745925607,2.387151981114812,Hotel
92,Bercy,48.8352090499,2.38621008421,5404b914498ebf230f13142c,Ernest & Valentin,48.83798648366122,2.390373423061561,Bakery
93,Bercy,48.8352090499,2.38621008421,4b5dd035f964a520296d29e3,The Frog,48.832934039398474,2.3862508688988617,Pub
94,Bercy,48.8352090499,2.38621008421,4b6760cdf964a5204d4b2be3,Hôtel ibis Paris Bercy Village 12ème,48.83232970328653,2.386646286915038,Hotel
95,Bercy,48.8352090499,2.38621008421,4c35bc8716adc928f02bc79c,Cafe Cartouche,48.8359372204998,2.385805826835053,French Restaurant
96,Bercy,48.8352090499,2.38621008421,4cacab9af47ea1435b649321,Loisirs & Création,48.832492,2.385486,Arts & Crafts Store
97,Bercy,48.8352090499,2.38621008421,5649d81b38fa50411fedb56c,central comics (Central Comics),48.834409,2.385364,Comic Shop
98,Bercy,48.8352090499,2.38621008421,5991c336112c6c66408eedc7,Roberta,48.832969081121114,2.3866188526153564,Italian Restaurant
99,Bercy,48.8352090499,2.38621008421,4bca1bf9b6c49c7432c98f91,Zendo,48.834777574807816,2.385295824693998,Japanese Restaurant
100,Bercy,48.8352090499,2.38621008421,4b4e4116f964a52004e726e3,École du vin,48.83398476638724,2.3888575348939916,Wine Bar
101,Bercy,48.8352090499,2.38621008421,5776c33e498ec87e7d5cfbc4,Vapiano,48.833530532810315,2.3874932527542114,Italian Restaurant
102,Bercy,48.8352090499,2.38621008421,4b4d0510f964a52007c826e3,CMG Sports Club Waou Bercy,48.83314058524732,2.3875543933118295,Gym / Fitness Center
